,elevation edges,length
302,"(0.072, 0.128)","(0.088, 0.112)"
303,"(0.072, 0.128)","(0.088, 0.112)"
304,"(0.072, 0.128)","(0.088, 0.112)"
305,"(0.072, 0.128)","(0.088, 0.112)"
306,"(0.072, 0.128)","(0.088, 0.112)"
307,"(0.072, 0.128)","(0.088, 0.112)"
308,"(0.072, 0.128)","(0.088, 0.112)"
309,"(0.072, 0.128)","(0.088, 0.112)"
310,"(0.072, 0.128)","(0.088, 0.112)"
311,"(0.072, 0.128)","(0.088, 0.112)"
312,"(0.072, 0.128)","(0.088, 0.112)"
313,"(0.072, 0.128)","(0.088, 0.112)"
314,"(0.072, 0.128)","(0.088, 0.112)"
315,"(0.072, 0.128)","(0.088, 0.112)"
316,"(0.072, 0.128)","(0.088, 0.112)"
317,"(0.072, 0.128)","(0.088, 0.112)"
318,"(0.072, 0.128)","(0.088, 0.112)"
319,"(0.072, 0.128)","(0.088, 0.112)"
320,"(0.072, 0.128)","(0.088, 0.112)"
321,"(0.072, 0.128)","(0.088, 0.112)"
322,"(0.072, 0.128)","(0.088, 0.112)"
323,"(0.072, 0.128)","(0.088, 0.112)"
324,"(0.072, 0.128)","(0.088, 0.112)"
325,"(0.072, 0.128)","(0.088, 0.112)"
326,"(0.072, 0.128)","(0.088, 0.112)"
327,"(0.072, 0.128)","(0.088, 0.112)"
328,"(0.072, 0.128)","(0.088, 0.112)"
329,"(0.072, 0.128)","(0.088, 0.112)"
330,"(0.072, 0.128)","(0.088, 0.112)"
331,"(0.072, 0.128)","(0.088, 0.112)"
332,"(0.072, 0.128)","(0.088, 0.112)"
333,"(0.072, 0.128)","(0.088, 0.112)"
334,"(0.072, 0.128)","(0.088, 0.112)"
335,"(0.072, 0.128)","(0.088, 0.112)"
336,"(0.072, 0.128)","(0.088, 0.112)"
337,"(0.072, 0.128)","(0.088, 0.112)"
338,"(0.072, 0.128)","(0.088, 0.112)"
339,"(0.072, 0.128)","(0.088, 0.112)"
340,"(0.072, 0.128)","(0.088, 0.112)"
341,"(0.072, 0.128)","(0.088, 0.112)"
342,"(0.072, 0.128)","(0.088, 0.112)"
343,"(0.072, 0.128)","(0.088, 0.112)"
344,"(0.072, 0.128)","(0.088, 0.112)"
345,"(0.072, 0.072)","(0.088, 0.088)"
346,"(0.072, 0.072)","(0.088, 0.088)"
347,"(0.072, 0.072)","(0.088, 0.088)"
348,"(0.072, 0.128)","(0.088, 0.112)"
349,"(0.072, 0.128)","(0.088, 0.112)"
350,"(0.072, 0.128)","(0.088, 0.112)"
351,"(0.072, 0.128)","(0.088, 0.112)"
352,"(0.072, 0.128)","(0.088, 0.112)"
353,"(0.072, 0.128)","(0.088, 0.112)"
354,"(0.072, 0.128)","(0.088, 0.112)"
355,"(0.072, 0.128)","(0.088, 0.112)"
356,"(0.072, 0.128)","(0.088, 0.112)"
357,"(0.072, 0.128)","(0.088, 0.112)"
358,"(0.072, 0.128)","(0.088, 0.112)"
359,"(0.072, 0.128)","(0.088, 0.112)"
360,"(0.072, 0.072)","(0.088, 0.088)"
361,"(0.072, 0.072)","(0.088, 0.088)"
362,"(0.072, 0.072)","(0.088, 0.088)"
363,"(0.072, 0.072)","(0.088, 0.088)"
364,"(0.072, 0.072)","(0.088, 0.088)"
365,"(0.072, 0.072)","(0.088, 0.088)"
366,"(0.072, 0.072)","(0.088, 0.088)"
367,"(0.072, 0.072)","(0.088, 0.088)"
368,"(0.072, 0.072)","(0.088, 0.088)"
369,"(0.072, 0.1)","(0.088, 0.1)"
370,"(0.072, 0.1)","(0.088, 0.1)"
371,"(0.072, 0.128)","(0.088, 0.112)"
372,"(0.072, 0.128)","(0.088, 0.112)"
373,"(0.072, 0.128)","(0.088, 0.112)"
374,"(0.072, 0.128)","(0.088, 0.112)"
375,"(0.072, 0.128)","(0.088, 0.112)"
376,"(0.072, 0.128)","(0.088, 0.112)"
377,"(0.072, 0.128)","(0.088, 0.112)"
378,"(0.072, 0.128)","(0.088, 0.112)"
379,"(0.072, 0.128)","(0.088, 0.112)"
380,"(0.072, 0.128)","(0.088, 0.112)"
381,"(0.072, 0.128)","(0.088, 0.112)"
382,"(0.072, 0.128)","(0.088, 0.112)"
383,"(0.072, 0.128)","(0.088, 0.112)"
384,"(0.072, 0.128)","(0.088, 0.112)"
385,"(0.072, 0.128)","(0.088, 0.112)"
386,"(0.072, 0.128)","(0.088, 0.112)"
387,"(0.072, 0.128)","(0.088, 0.112)"
